X0             Y0             Theta          X              Y              
15.0000        95.0000        0.7852         20.0011        99.9987        
15.0000        95.0000        1.0994         17.5483        99.9994        
15.0000        95.0000        1.4136         15.7924        99.9994        
15.0000        95.0000        1.7278         14.2086        99.9994        
15.0000        95.0000        2.0420         12.4529        99.9995        
15.0000        95.0000        2.3562         10.0006        99.9995        
15.0000        95.0000        2.6704         10.0005        97.5471        
15.0000        95.0000        2.9846         10.0006        95.7914        
25.0000        15.0000        3.2986         20.0014        14.2087        
25.0000        15.0000        3.6128         20.0013        12.4530        
25.0000        15.0000        3.9271         20.0012        10.0022        
25.0000        15.0000        4.2413         22.4535        10.0007        
25.0000        15.0000        4.5555         24.2090        10.0008        
25.0000        15.0000        4.8697         25.7927        10.0008        
25.0000        15.0000        5.1838         27.5485        10.0009        
25.0000        15.0000        5.4980         30.0012        10.0010        
25.0000        15.0000        -0.4710        30.0017        12.4528        
25.0000        15.0000        -0.1569        30.0017        14.2086        
25.0000        15.0000        0.1572         30.0018        15.7927        
25.0000        15.0000        0.4713         30.0021        17.5490        
25.0000        15.0000        0.7854         30.0024        20.0015        
25.0000        15.0000        1.0995         27.5493        20.0024        
25.0000        15.0000        1.4136         25.7930        20.0021        
25.0000        15.0000        1.7277         24.2088        20.0019        
25.0000        15.0000        2.0418         22.4531        20.0019        
25.0000        15.0000        2.3559         20.0017        20.0017        
25.0000        15.0000        2.6701         20.0017        17.5484        
25.0000        15.0000        2.9843         20.0016        15.7925        
25.0000        25.0000        3.2984         20.0021        24.2097        
25.0000        25.0000        3.6127         20.0020        22.4543        
25.0000        25.0000        3.9270         20.0017        20.0020        
25.0000        25.0000        4.2412         22.4540        20.0020        
25.0000        25.0000        4.5555         24.2095        20.0022        
25.0000        25.0000        4.8698         25.7933        20.0023        
25.0000        25.0000        5.1841         27.5493        20.0025        
25.0000        25.0000        5.4984         30.0019        20.0030        
25.0000        25.0000        -0.4708        30.0028        22.4539        
25.0000        25.0000        -0.1567        30.0031        24.2094        
25.0000        25.0000        0.1573         30.0034        25.7937        
25.0000        25.0000        0.4714         30.0039        27.5503        
25.0000        25.0000        0.7854         30.0046        30.0041        
25.0000        25.0000        1.0994         27.5503        30.0037        
25.0000        25.0000        1.4135         25.7937        30.0034        
25.0000        25.0000        1.7275         24.2094        30.0031        
25.0000        25.0000        2.0416         22.4539        30.0028        
25.0000        25.0000        2.3556         20.0044        30.0025        
25.0000        25.0000        2.6699         20.0025        27.5493        
25.0000        25.0000        2.9842         20.0023        25.7934        
25.0000        35.0000        3.2984         20.0035        34.2101        
25.0000        35.0000        3.6127         20.0032        32.4549        
25.0000        35.0000        3.9270         20.0029        30.0027        
25.0000        35.0000        4.2414         22.4552        30.0029        
25.0000        35.0000        4.5557         24.2107        30.0032        
25.0000        35.0000        4.8701         25.7944        30.0036        
25.0000        35.0000        5.1844         27.5506        30.0040        
25.0000        35.0000        5.4988         30.0043        30.0050        
25.0000        35.0000        -0.4705        30.0053        32.4542        
25.0000        35.0000        -0.1566        30.0060        34.2096        
25.0000        35.0000        0.1573         30.0067        35.7942        
25.0000        35.0000        0.4712         30.0073        37.5512        
25.0000        35.0000        0.7851         30.0086        40.0054        
25.0000        35.0000        1.0992         27.5521        40.0042        
25.0000        35.0000        1.4132         25.7949        40.0035        
25.0000        35.0000        1.7273         24.2105        40.0031        
25.0000        35.0000        2.0414         22.4552        40.0028        
25.0000        35.0000        2.3554         20.0074        40.0024        
25.0000        35.0000        2.6697         20.0041        37.5494        
25.0000        35.0000        2.9841         20.0037        35.7937        
25.0000        45.0000        3.2984         20.0051        44.2103        
25.0000        45.0000        3.6127         20.0049        42.4557        
25.0000        45.0000        3.9270         20.0044        40.0083        
25.0000        45.0000        4.2414         22.4556        40.0029        
25.0000        45.0000        4.5559         24.2115        40.0032        
25.0000        45.0000        4.8703         25.7957        40.0036        
25.0000        45.0000        5.1848         27.5526        40.0043        
25.0000        45.0000        5.4992         30.0084        40.0058        
25.0000        45.0000        -0.4703        30.0098        42.4532        
25.0000        45.0000        -0.1566        30.0105        44.2087        
25.0000        45.0000        0.1570         30.0113        45.7935        
25.0000        45.0000        0.4707         30.0120        47.5504        
25.0000        45.0000        0.7844         30.0131        50.0029        
25.0000        45.0000        1.0986         27.5546        50.0019        
25.0000        45.0000        1.4128         25.7967        50.0016        
25.0000        45.0000        1.7271         24.2120        50.0013        
25.0000        45.0000        2.0413         22.4565        50.0012        
25.0000        45.0000        2.3555         20.0060        50.0010        
25.0000        45.0000        2.6698         20.0055        47.5483        
25.0000        45.0000        2.9841         20.0054        45.7932        
25.0000        55.0000        3.2988         20.0060        54.2085        
25.0000        55.0000        3.6131         20.0060        52.4536        
25.0000        55.0000        3.9275         20.0058        50.0014        
25.0000        55.0000        4.2419         22.4576        50.0014        
25.0000        55.0000        4.5562         24.2131        50.0014        
25.0000        55.0000        4.8706         25.7976        50.0017        
25.0000        55.0000        5.1850         27.5553        50.0021        
25.0000        55.0000        5.4994         30.0129        50.0030        
25.0000        55.0000        -0.4703        30.0136        52.4516        
25.0000        55.0000        -0.1568        30.0136        54.2076        
25.0000        55.0000        0.1568         30.0136        55.7924        
25.0000        55.0000        0.4703         30.0136        57.5484        
25.0000        55.0000        0.7838         30.0130        59.9967        
25.0000        55.0000        1.0982         27.5553        59.9979        
25.0000        55.0000        1.4126         25.7976        59.9983        
25.0000        55.0000        1.7269         24.2131        59.9986        
25.0000        55.0000        2.0413         22.4576        59.9986        
25.0000        55.0000        2.3557         20.0065        59.9989        
25.0000        55.0000        2.6701         20.0060        57.5464        
25.0000        55.0000        2.9844         20.0060        55.7915        
25.0000        65.0000        3.2991         20.0054        64.2068        
25.0000        65.0000        3.6134         20.0055        62.4517        
25.0000        65.0000        3.9277         20.0057        59.9990        
25.0000        65.0000        4.2419         22.4565        59.9988        
25.0000        65.0000        4.5561         24.2120        59.9987        
25.0000        65.0000        4.8703         25.7967        59.9984        
25.0000        65.0000        5.1846         27.5546        59.9981        
25.0000        65.0000        5.4988         30.0128        59.9971        
